name,value,sign,magnitude,unit,uncertainty,is_dimensionless,sparse_signed_predicted,sparse_magnitude_predicted,sparse_relative_error_percent,sparse_log10_error,sparse_pass_1_percent,sparse_pass_0_1_percent,sparse_complexity,sparse_formula,exact_calibration_coefficient,exact_calibrated_predicted,exact_calibrated_relative_error_percent,status
atomic unit of magn. dipole moment,1.8548019e-23,1,1.8548019e-23,J T^-1,1.6e-30,False,6.1335069477956684e-24,6.1335069477956684e-24,66.93174107814063,0.4805886705394114,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,3.0240479317735187,1.8548019e-23,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of magn. flux density,235051.757077,1,235051.757077,T,7.3e-05,False,234849.49715065962,234849.49715065962,0.08604910205972649,0.0003738673798132451,True,True,4,sign(1) * 1 * dict^1 * checksum^2 * lnK^1,1.0008612321030885,235051.75707699996,1.238188168370069e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of magnetizability,7.8910365794e-29,1,7.8910365794e-29,J T^-2,4.9e-38,False,3.771190459990763e-25,3.771190459990763e-25,477808.12044081383,3.6793444099572326,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,0.0002092452413400337,7.8910365794e-29,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of mass,9.1093837139e-31,1,9.1093837139e-31,kg,2.8e-40,False,3.771190459990763e-25,3.771190459990763e-25,41398863.73270902,5.616989470328657,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,2.4155193991242523e-06,9.1093837139e-31,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of mom.um,1.992851882e-24,1,1.992851882e-24,kg m s^-1,2.4e-32,False,5.592641446569509e-24,5.592641446569509e-24,180.63507865706546,0.44814195576939736,False,False,9,sign(1) * 1 * dict^-3 * total_bits^-3 * f1^-3,0.3563346409812134,1.992851882e-24,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of momentum,1.99285191545e-24,1,1.99285191545e-24,kg m s^-1,3.1e-34,False,5.592641446569509e-24,5.592641446569509e-24,180.63507394660843,0.4481419484797687,False,False,9,sign(1) * 1 * dict^-3 * total_bits^-3 * f1^-3,0.35633464696228695,1.99285191545e-24,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of permittivity,1.1126500562e-10,1,1.1126500562e-10,F m^-1,1.7e-20,False,1.1288758480187619e-10,1.1288758480187619e-10,1.4583014424299106,0.0062875873293578525,False,False,4,sign(1) * 1 * dict^-2 * checksum^-1 * total_bits^-1,0.9856265931747596,1.1126500562e-10,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of time,2.4188843265864e-17,1,2.4188843265864e-17,s,2.6e-29,False,2.4671622769447922e-17,2.4671622769447922e-17,1.9958767696231086,0.008582615561969832,False,False,7,sign(1) * 1 * dict^-2 * words^-2 * entropy^-3,0.9804317896680159,2.4188843265864e-17,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of velocity,2187691.26216,1,2187691.26216,m s^-1,0.00034,False,2196132.438887047,2196132.438887047,0.3858486283257748,0.001672494723347206,True,False,4,sign(1) * 1 * pi^1 * K^-1 * dict^2,0.9961563444091173,2187691.26216,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Avogadro constant,6.02214076e+23,1,6.02214076e+23,mol^-1,0.0,False,1.7880638506038924e+23,1.7880638506038924e+23,70.30850121470937,0.5273678792731913,False,False,9,sign(1) * 1 * dict^3 * total_bits^3 * f1^3,3.3679674011451604,6.02214076e+23,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr magneton,9.2740100657e-24,1,9.2740100657e-24,J T^-1,2.9e-33,False,6.1335069477956684e-24,6.1335069477956684e-24,33.86348619050466,0.17955870136671004,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,1.5120240581178443,9.2740100657e-24,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr magneton in eV/T,5.7883817982e-05,1,5.7883817982e-05,eV T^-1,1.8e-14,False,5.739210284664831e-05,5.739210284664831e-05,0.84948635472629,0.003705031607642567,True,False,3,sign(1) * 1 * K^-1 * bits^-1 * total_bits^-1,1.008567644518368,5.788381798200001e-05,1.1706663130171548e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr magneton in Hz/T,13996244917.1,1,13996244917.1,Hz T^-1,4.4,False,13985253560.803629,13985253560.803629,0.07853075136562308,0.0003411887063467717,True,True,4,sign(1) * 1 * dict^1 * entropy^2 * f1^1,1.0007859247062332,13996244917.1,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr magneton in inverse meter per tesla,46.686447719,1,46.686447719,m^-1 T^-1,1.5e-08,False,46.54545454545455,46.54545454545455,0.302000217266634,0.0013135547478782808,True,False,2,sign(1) * 1 * K^1 * bip_density^-1,1.0030291502128905,46.68644771899999,1.521946454433136e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr magneton in inverse meters per tesla,46.68644814,1,46.68644814,m^-1 T^-1,2.9e-07,False,46.54545454545455,46.54545454545455,0.30200111630393206,0.0013135586641749074,True,False,2,sign(1) * 1 * K^1 * bip_density^-1,1.0030291592578124,46.686448139999996,1.5219464407088223e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
