name,unit,sector,split,observed,sparse_prediction,exact_calibration_coefficient,exact_prediction,exact_relative_error_percent,predicted_calibration_coefficient,predictive_prediction,predictive_relative_error_percent,predictive_log10_error,predictive_pass_1_percent,predictive_pass_10_percent,sparse_formula,status
conventional value of farad-90,F,general_dimensional,train,0.9999999822063325,1.0,0.9999999822063325,0.9999999822063325,0.0,2.8603560479688586,2.8603560479688586,186.0356098865084,0.4564201038091353,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
conventional value of henry-90,H,general_dimensional,train,1.0000000177936679,1.0,1.0000000177936679,1.0000000177936679,0.0,2.86035607341697,2.86035607341697,186.0356022520745,0.45642009221759755,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
conventional value of Josephson constant,Hz V^-1,electromagnetic_quantum,train,483597900000000.0,489832430174208.0,0.9872721163603017,483597900000000.0,0.0,67.44148036201346,3.303502422027118e+16,6731.093398104331,1.834490223265421,False,False,sign(1) * 1 * K^3 * dict^3 * total_bits^1,EXACT_SYMBOLIC_OK
conventional value of ohm-90,ohm,general_dimensional,train,1.0000000177936679,1.0,1.0000000177936679,1.0000000177936679,0.0,1.4364099928696588,1.4364099928696588,43.64099673106569,0.1572784100526146,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
conventional value of volt-90,V,general_dimensional,train,1.0000001066651072,1.0,1.0000001066651072,1.0000001066651072,0.0,5.017160232999733,5.017160232999733,401.7159697843856,0.7004579249840075,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
conventional value of von Klitzing constant,ohm,electromagnetic_quantum,train,25812.807,26674.75425873495,0.9676867779033917,25812.807,0.0,6.460033270568221,172319.79999565912,567.5748204976667,0.8244999476519869,False,False,sign(1) * 1 * entropy^1 * f1^1,EXACT_SYMBOLIC_OK
conventional value of watt-90,W,general_dimensional,train,1.0000001955365543,1.0,1.0000001955365543,1.0000001955365543,0.0,2.8603562005189445,2.8603562005189445,186.03556412148583,0.45642003432303746,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
Copper x unit,m,general_dimensional,train,1.00207697e-13,1.0156802229425738e-13,0.9866067561075835,1.00207697e-13,0.0,1.4750802612624443,1.4982098486172294e-13,49.51045612965533,0.17467156644384052,False,False,sign(1) * 1 * bits^-1 * dict^-3 * f1^-1,EXACT_SYMBOLIC_OK
Cu x unit,m,general_dimensional,train,1.00207697e-13,1.0156802229425738e-13,0.9866067561075835,1.00207697e-13,0.0,1.4750802612624443,1.4982098486172294e-13,49.51045612965533,0.17467156644384052,False,False,sign(1) * 1 * bits^-1 * dict^-3 * f1^-1,EXACT_SYMBOLIC_OK
deuteron g factor,,dimensionless_ratio,train,0.8574382335,0.8568115099074557,1.000731460286536,0.8574382334999999,1.294813995048142e-14,0.7851501424060862,0.6727256790190126,21.54237439669611,0.1053648392473502,False,False,sign(1) * 1 * pi^1 * bits^-1 * U^1,EXACT_SYMBOLIC_OK
deuteron mag. mom.,J T^-1,electromagnetic_quantum,train,4.330735087e-27,4.3911032508049244e-27,0.9862521648075894,4.330735087e-27,0.0,0.33298973101541074,1.4621922903464275e-27,66.23685676975171,0.47155712887079676,False,False,sign(1) * mu_B[J/T] * checksum^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
deuteron mag. mom. to Bohr magneton ratio,,dimensionless_ratio,train,0.0004669754568,0.0004734848484848485,0.9862521647616,0.0004669754568,0.0,0.257062258528098,0.00012171508453034943,73.93544291076553,0.5839496505695252,False,False,sign(1) * 1 * checksum^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
deuteron mag. mom. to nuclear magneton ratio,,dimensionless_ratio,train,0.8574382335,0.8568115099074557,1.000731460286536,0.8574382334999999,1.294813995048142e-14,0.7851501424060862,0.6727256790190126,21.54237439669611,0.1053648392473502,False,False,sign(1) * 1 * pi^1 * bits^-1 * U^1,EXACT_SYMBOLIC_OK
deuteron magn. moment,J T^-1,electromagnetic_quantum,test,4.33073482e-27,3.771190459990763e-25,0.011483734024959873,4.33073482e-27,0.0,0.039938930644656936,1.5061731422936296e-26,247.7869703168825,0.541313307323168,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
deuteron magn. moment to Bohr magneton ratio,,dimensionless_ratio,train,0.0004669754567,0.0004734848484848485,0.9862521645504,0.0004669754567,0.0,0.257062258528098,0.00012171508453034943,73.93544290518396,0.5839496504765236,False,False,sign(1) * 1 * checksum^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
deuteron magn. moment to nuclear magneton ratio,,dimensionless_ratio,train,0.8574382329,0.8568115099074557,1.0007314595862653,0.8574382329,0.0,0.7851501424060862,0.6727256790190126,21.54237434179469,0.10536483894344874,False,False,sign(1) * 1 * pi^1 * bits^-1 * U^1,EXACT_SYMBOLIC_OK
